ARLYWYDD YR UNOL DALEITHIAU, BARTHOLOMEW ROBERTS, CYMRU
BETHAN RHYS ROBERTS, CYFNOD Y TUDURIAID, HELYNTION BECA
RHYFEL CARTREF AMERICA, Y BRYTHONIAID, Y CHWYLDRO DIWYDIANNOL
Y DIRWASGIAD MAWR, YR OESOEDD CANOL, Y RHYFEL OER
BOB DYLAN, BRYN FôN, CARYL PARRY JONES
CERI WYN JONES, ﻿CYMRAEG, DAFYDD DAFIS
DAFYDD IWAN, DEWI 'PWS' MORRIS, DEWI SANT
DIC JONES, DUW, DYFAN REES
EDWARD H. DAFIS, EMYR WYN, FFION DAFIS
GARETH F. WILLIAMS, GAYNOR MORGAN REES, GERALLT LLOYD OWEN
GERALLT PENNANT, GWE FYD-EANG, GWYNFOR EVANS
HARRI MORGAN, HEATHER JONES, HELEDD CYNWAL
HUW CHISWELL, IESU, IEUAN ROBERTS
IFAN HUW DAFYDD, IWAN LLWYD, JOHN PIERCE JONES
J. O. ROBERTS, KATE ROBERTS, LLYWELYN FAWR
MANON STEFFAN ROS, MYRDDIN AP DAFYDD, BASGIAID
CYMRY, RICHARD ELFYN, RHODRI MORGAN
RHYS IFANS, SAUNDERS LEWIS, TOM JONES
TUDUR DYLAN JONES, TUDUR OWEN, Y BRENIN ARTHUR
Y CELTIAID, Y DYWYSOGES GWENLLIAN, Y FAM TERESA
